ClientVendorNumber,VendorName,InvoiceAddressLine1,InvoiceAddressLine2,InvoiceAddressLine3,InvoiceCity,InvoiceState,InvoiceZipCode,Contact,InvoiceContactTelNo,TaxIDChar,VendorTypePricing,Facility,Country
1000,Weissnat Inc,68964 Jacobson Isle,,,Remingtonfort,OH,45506,Vincenza O'Reilly,3652739237,538998186, ,North Charly,USA
1001,Thiel Ltd,6957 Christen Well Suite 805,,,Paucekview,AK,04344,Jovanny Sporer,1791091452,522064555,2,Lindsayberg,USA
1002,Davis PLC,09809 Reinger Haven Suite 616,,,Treutelbury,KY,52435,Andre Hahn,9960593398,275044719,4,Schneiderborough,USA
1003,"Ratke, Gorczany and Bosco",43155 Birtie Parkways,,,Kileyberg,NE,71344,Mr. Barnett Kuhic,2444985018,345361257, ,Omaberg,USA
1004,"Mueller, Brekke and Botsford",468 Terance Street,,,South Newmanport,HI,11909,Enid McLaughlin,0049792138,415877676,2,East Niki,USA
1005,Bins LLC,83723 Shari Springs,,,New Demarcus,NJ,00628,Brennan Lueilwitz,7122506521,159902744, ,North Algot,USA
1006,"Wilderman, Purdy and Stoltenberg",61316 Rosenbaum Bypass,,,Marianneside,IA,06918,Asbury Ward,3924071102,897183450,5,East Bronson,USA
1007,"Veum, Rosenbaum and Wolff",434 Zana Groves Apt. 240,,,North Darrickstad,NH,97427,Alphonso Kozey,2590018254,780055391,5,Hickleton,USA
1008,Sporer-Crist,90123 Merritt Stravenue Suite 448,,,Tillmanshire,AL,80106,Christene Reinger PhD,2744056999,213507312,4,Johnsonland,USA
1009,Muller Group,599 Johnston Turnpike Apt. 531,,,East Shanita,WA,66201,Bernie Turcotte,0758457586,782316983,4,Leannonmouth,USA
1010,Jenkins Group,967 Anderson Glens,,,South Matteo,WA,62297,Birtha Corkery,0004505070,014732043,2,Lakinchester,USA
1011,"Rolfson, Smitham and Von",69763 Abigayle Gardens,,,New Giselleport,OK,64693,Mrs. Viviana Leffler PhD,8566142093,115142196,4,East Kailee,USA
1012,Johnson-Fahey,3457 Hansen Club,,,West Dara,NM,61773,Bev Osinski,5814847393,173844973,5,New Mallorieport,USA
1013,Zieme LLC,19827 Larson Street Apt. 922,,,Hoegermouth,VT,93560,Lorenz Schmeler,9544730510,131197516,5,Shieldsshire,USA
1014,"Mills, Roob and Block",7625 Jame Turnpike,,,West Wilhelmine,WA,04013,Mckayla Hartmann,3557873507,124361649, ,West Brynn,USA
1015,"Heaney, King and Schmidt",085 Christiansen Summit Suite 635,,,North Roseanne,MN,48991,Taina Lindgren,6071075339,694789364,4,Breitenbergland,USA
1016,Abernathy-Zieme,26152 Seldon Prairie,,,Port Georgineburgh,ID,17269,Mrs. Teri Vandervort,4052301950,001664770,2,Kendellchester,USA
1017,Keeling-Turcotte,111 Sherilyn Tunnel,,,Nadershire,IL,35342,Dr. Sonia Bashirian DVM,9374144230,086103408,2,Delisabury,USA
