ClientVendorNumber,VendorName,InvoiceAddressLine1,InvoiceAddressLine2,InvoiceAddressLine3,InvoiceCity,InvoiceState,InvoiceZipCode,Contact,InvoiceContactTelNo,TaxIDChar,VendorTypePricing,Facility,Country
20000,"Monahan, Schoen and Rau",8436 Fidencio Roads,,,Bryantport,AR,63603,Mathilda Smith,1770872984,052829254,5,Shirleenburgh,USA
20001,Romaguera and Sons,2792 Renner Fork Suite 624,,,Verlenemouth,OK,93953,Cristy Heller,1879313816,332329884,3,Raumouth,USA
20002,Rolfson Inc,6623 Cormier Garden Apt. 048,,,Schmidtside,MS,91016,Jaiden Parisian,3417887662,107813293,1,Port Roslynbury,USA
20003,Weimann Inc,293 Larson Rue,,,Port Dickville,MS,87949,Mr. Braden McGlynn V,2149554485,516869645,1,Kolbyview,USA
20004,Von LLC,4700 Domenico Pike Suite 863,,,Olsonland,MT,19315,Dakoda Halvorson,0001989221,657035340, ,West Marianland,USA
20005,"Kuphal, Howell and Roberts",58131 Kaiya Radial,,,Krajcikton,AR,66016,Elwin Paucek Jr.,3534612699,845679984,4,Port Oddie,USA
20006,Heller-Jast,6757 Grady Plains,,,Beerport,VT,05749,Daunte Waters,7577074750,100847117, ,Elvafurt,USA
20007,Johnson-Ullrich,08885 Jaskolski Glen,,,Lake Kiera,OH,76452,Eve Crona,7873355362,446539168,5,Retaville,USA
20008,Hane LLC,8586 Jake Falls,,,West Kenyon,AL,57558,Mr. Darren Yundt,5192982277,651555103,2,Melltown,USA
20009,"Gorczany, Gerlach and Quigley",54829 Mae Fort,,,East Andraemouth,IL,64177,Dr. Severt Beatty,9405314256,160819778,4,Port Alger,USA
20010,Prosacco and Sons,653 Larson Ferry,,,Lake Shirlene,SD,27625,Mr. Rudy Osinski PhD,0674143788,776847543,4,Phoebeberg,USA
20011,Emard and Sons,77511 Rogahn Lodge Suite 058,,,Spencerview,KS,56200,Dr. Walton Crona II,6563456459,567183444, ,Dravenbury,USA
20012,"Conroy, Bergnaum and Walter",5478 Johnston Circles,,,South Jammieport,MO,52694,Magen Wolff,4671832359,729927102,2,Nicolasborough,USA
20013,Yundt-Larkin,16355 Taniya Plaza,,,Kadynbury,DE,46801,Aubrie Ruecker,0991264658,146739907, ,Starlingburgh,USA
20014,Muller Group,46906 Raleigh Rest,,,Lake Lesa,MI,02657,Dr. Dawne Crooks,8055529308,757937013,5,Buckridgemouth,USA
20015,Fisher-O'Reilly,18399 Schimmel Point,,,Almetafort,KY,08923,Ena Conn,8381879159,098887581, ,Demianbury,USA
20016,Kozey and Sons,43466 Kozey Harbors,,,New Darleen,KS,97645,Ellwood Jast,8887589953,748676258,4,East Sidney,USA
20017,"Runolfsson, Moen and Friesen",31950 Lea Falls Suite 875,,,Arminburgh,MO,52060,Dr. Bennett Rippin PhD,4180771386,922417834,2,Aminaport,USA
20018,Schuppe-Pollich,14728 Reichert Skyway Suite 773,,,Parleyfurt,SC,77650,Micah Harber,9313790631,855764959,5,Francescoville,USA
20019,Heidenreich-Braun,4316 Bednar Lakes,,,West Germainehaven,OR,84044,Elayne Gaylord,0769560720,581965856, ,Runolfssonland,USA
20020,"Brakus, Leffler and Mosciski",5331 Weimann Mills,,,North Vonettaland,NJ,45351,Ricci Hodkiewicz,9662673922,623392156,1,Port Salome,USA
20021,Rolfson Inc,01937 Blanda Forks,,,Schambergertown,AL,86949,Kristian Reichert,7677608703,676358333,3,Torpton,USA
20022,"Frami, Yost and Wisoky",25338 Krajcik Streets,,,Doraville,NV,88895,Yamilex Krajcik,0461067781,072308218, ,Port Ari,USA
20023,Ritchie LLC,874 Justine Key Suite 832,,,Watsicaside,OR,09242,Mr. Barrett Dare,6367320563,018045146,1,Lindgrenton,USA
20024,"West, Bartoletti and Miller",71834 Celia Rue,,,South Erynburgh,UT,02467,Darrick Conroy,2456644428,346719986,1,Arseniostad,USA
20025,O'Hara PLC,23665 Alverta Branch,,,Clotildeshire,AK,68752,Lisette Labadie,6549617797,574895130,2,Cherieshire,USA
20026,Mann PLC,7641 Babe Valley Apt. 166,,,Mullerburgh,MS,93206,Corine Kemmer,4708846831,264139139, ,West Janbury,USA
20027,"Bartell, Emard and Kozey",321 Dot Springs,,,VonRuedenville,AR,03146,Miss Misty Emard,9855537205,346451324, ,Sauerland,USA
20028,Franecki PLC,149 Dalia Wells Apt. 504,,,Lake Jannahaven,SD,91036,Dorthy Reichert,0801251886,667758642,3,East Kris,USA
20029,Conn Group,80367 Britany Square,,,Batzberg,KY,33846,Angus Wunsch,5643208958,501959348,2,Sauerborough,USA
20030,Metz Ltd,9839 Lubowitz Plains,,,West Trevion,MT,99764,Elba Doyle,0854478123,889863027,3,Marinstad,USA
20031,"Tremblay, Christiansen and Lang",79163 Dare Mission Suite 132,,,New Irischester,DE,25031,Kortney Gottlieb,6347731939,715699626, ,Russelland,USA
20032,"Rutherford, Rutherford and Jerde",7164 Medhurst Roads,,,Whitefort,TX,13795,Mr. Osvaldo Ruecker,3605564487,543961954,3,South Eddyhaven,USA
